H8 I6 I9 I5 J8 H6 ,7:5
H8 I6 I9 I5 J8 I8 ,8:8
H8 I6 I9 J9 Ha Ia ,6:8
H8 I7 I9 H7 ,6:8
H8 I6 I9 J8 H9 J7 ,9:6
H8 I6 I9 H5 J9 J8 ,10:4
H8 I6 I9 J8 H9 I5 ,8:8
H8 I8 I9 G7 J9 K9 Ha J8 ,7:4
H8 I6 I9 G9 I8 J9 ,9:7
H8 I6 I9 G9 I8 I7 ,9:7
H8 I6 I9 Ha I8 Ia ,9:5
H8 I6 I9 G9 I8 H5 ,10:7
H8 I7 I9 Ia G8 F9 ,5:7
H8 I7 I9 I8 G7 Ia ,9:5
H8 I6 I9 Ia J8 K7 ,10:6
H8 I6 I9 H7 G7 H9 ,5:9
H8 I6 I9 I7 Ha Hb ,9:5
H8 I6 I9 J9 Ha G9 ,8:7
H8 I6 I9 J7 J9 J8 ,7:6
H8 I8 I9 G7 J9 G9 ,9:7
H8 I7 I9 G7 J9 H7 ,9:8
H8 I6 I9 Ha ,8:7
H8 I6 I9 H5 J9 I7 ,7:6
H8 I6 I9 J6 J8 H7 ,9:5
H8 I6 I9 G9 I8 H6 ,9:5
H8 I7 I9 Ia G8 F8 ,6:8
H8 I7 I9 Ia G8 F8 G7 F6 ,9:6
H8 I6 I9 H7 G7 F6 ,6:6
H8 I6 I9 I7 Ha Ga ,7:6
H8 I6 I9 J7 J9 I7 ,7:6
H8 I6 I9 J9 Ha Ja ,9:7
H8 I8 I9 G7 J9 Ja ,7:6
H8 I6 I9 J7 J9 H5 ,10:7
H8 I7 I9 H9 ,6:8
H8 I7 I9 G7 ,9:6
H8 I6 I9 H5 J9 H6 ,9:5
H8 I6 I9 H5 J9 I8 ,7:6
H8 I6 I9 I5 J8 Ja ,7:5
H8 I6 I9 I8 H9 H7 ,9:6
H8 I7 I9 G7 J9 J7 H7 H9 I8 Ka J8 K8 K7 L6 ,8:4
H8 I7 I9 G9 J8 G8 ,7:5
H8 I7 I9 H9 G7 J9 ,5:9
H8 I7 I9 Ia G8 H7 ,6:8
H8 I6 I9 G8 G7 J5 ,5:9
H8 I6 I9 J8 H9 Ga ,6:6
H8 I6 I9 J7 J9 G8 ,10:4
H8 I8 I9 G8 ,6:8
H8 I6 I9 H5 J9 H7 ,11:6
H8 I7 I9 Ja G8 Ha ,7:8
H8 I7 I9 Ia G8 I8 ,6:8
H8 I6 I9 J7 J9 Ja ,7:6
H8 I7 I9 H9 G7 J8 ,5:9
H8 I6 I9 J7 J9 G9 ,10:7
H8 I8 I9 Ja G7 Ha ,7:8
H8 J6 I9 I5 ,10:6
H8 I8 I9 G7 ,9:6
H8 I8 I9 H9 ,6:5
H8 I7 I9 G9 J8 Ja ,8:7
H8 I6 I9 I8 H9 G7 ,7:5
H8 I6 I9 G9 I8 J5 ,9:5
H8 I7 I9 Ia G8 H9 ,5:7
H8 I6 I9 H9 J8 Ha ,8:7
H8 I7 I9 Ia G8 G7 ,7:8
H8 I7 I9 G8 G7 J9 ,5:9
H8 I7 I9 H9 G7 H7 ,5:9
H8 I8 I9 Ia Ja I7 ,10:4
H8 I6 I9 G8 G7 I5 ,5:9
H8 I6 I9 G8 G7 J7 ,5:9
H8 I8 I9 Ia Ja J9 ,10:4
H8 I6 I9 J8 H9 Ha ,9:5
H8 I7 I9 H9 G7 F6 Ha Gb ,9:5
H8 J6 I9 H9 G8 I8 ,6:5
H8 I7 I9 Ja G8 Ia ,7:5
H8 I6 I9 G9 I8 J6 ,8:5
H8 I6 I9 J6 J8 G9 ,6:7
H8 I6 I9 I8 H9 G8 ,6:6
H8 I6 I9 H5 J9 G7 ,7:6
H8 I6 I9 H5 J9 H9 ,9:5
H8 I8 I9 G7 J9 K9 Ha Hb ,5:5
H8 I7 I9 H9 G7 I8 ,9:5
H8 I6 I9 J7 J9 Ka ,7:6
H8 I6 I9 G8 G7 J6 ,5:9
H8 I8 I9 Ja G7 Ia ,7:8
H8 I6 I9 J7 J9 H9 ,9:5
H8 I6 I9 J7 J9 G7 ,7:6
H8 I6 I9 H5 J9 Ka ,9:5
H8 I6 I9 J6 J8 Ja ,7:5
H8 I8 I9 H7 ,6:8
H8 I7 I9 G9 J8 Ia ,9:6
H8 I8 I9 G7 J9 J8 ,7:6
H8 I6 I9 H5 J9 G8 ,9:5
H8 I7 I9 G7 J9 K8 ,7:6
H8 I6 I9 G8 G7 J9 ,5:9
H8 I6 I9 I8 H9 I5 ,8:8
H8 I7 I9 Ja G8 F9 ,7:6
H8 I6 I9 I8 H9 J7 ,7:8
H8 I6 I9 G8 G7 H5 ,5:9
H8 I6 I9 G8 G7 I7 ,5:9
H8 I8 I9 H9 Ga J8 ,6:8
H8 J8 F8 K8 ,6:6
H8 I6 I9 H7 G7 Ha ,5:9
H8 I6 I9 J8 H9 Ia ,7:5
H8 I6 I9 H6 J8 H5 ,10:7
H8 I8 I9 Ja G7 F7 ,7:8
H8 I6 I9 I8 H9 J8 ,9:6
H8 I6 I9 H5 J9 G9 ,10:4
H8 I7 I9 Ha ,6:8
H8 I7 I9 Ja G8 F8 ,7:6
H8 I6 I9 J7 J9 Ha ,10:7
H8 I6 I9 G8 G7 J8 ,5:9
H8 K7 G9 K6 ,7:5
H8 J8 F8 K9 ,6:6
H8 I8 I9 H9 Ga J9 ,6:6
H8 I6 I9 H5 J9 Ja ,10:7
H8 I8 I9 Ja G7 F8 ,7:8
H8 I7 I9 G9 J8 Ha ,9:8
H8 I7 I9 G9 J8 Ha J7 J9 ,6:8
H8 I7 I9 G9 J8 Ha J7 J9 G7 F6 ,10:7
H8 I6 I9 I8 H9 I7 ,7:5
H8 I8 I9 G7 J9 K8 ,7:6
H8 I6 I9 I8 H9 J9 ,7:8
H8 I6 I9 G8 G7 H7 ,5:9
H8 I6 I9 Ia J8 H9 ,6:7
H8 I7 I9 Ia G8 J9 ,4:7
H8 I6 I9 I8 H9 H5 ,9:6
H8 I6 I9 J8 H9 G9 ,8:5
H8 I7 I9 Ja G8 G9 ,7:5
H8 I7 I9 H9 G7 F7 ,5:9
H8 I7 I9 Ja G8 F7 ,7:8
H8 I7 I9 H9 G7 F8 ,5:9
H8 I6 I9 J9 Ha Gb ,8:5
H8 I8 I9 Ja G7 H9 ,7:8
H8 I8 I9 G7 J9 K9 ,7:5
H8 I6 I9 I8 H9 H6 ,9:6
H8 I7 I9 G8 G7 F6 ,7:5
H8 I6 I9 G8 G7 I8 ,9:5
H8 I7 I9 Ia G8 J8 ,6:8
H8 I7 I9 H9 G7 G8 ,5:9
H8 I6 I9 G8 G7 H6 ,5:9
H8 I6 I9 J7 J9 Ia ,7:6
H8 K7 G9 K8 ,8:6
H8 I6 I9 G7 H9 J5 ,6:6
H8 I6 I9 H5 J9 Ia ,7:6
H8 I8 I9 Ka ,6:6
H8 I8 I9 Ka G9 Ja ,7:5
H8 I8 I9 Kb ,6:6
H8 I8 I9 Ja G7 F6 ,6:6
H8 I8 I9 Ja H7 Ka ,8:8
H8 I8 I9 Ja H7 Jc ,8:8
H8 I8 I9 Ja H7 La ,8:8
H8 I6 I9 J6 J8 Ha ,9:5
H8 J6 I9 H9 G8 G7 ,7:5
H8 I6 I9 H9 J8 G8 ,10:8
H8 I6 I9 J5 H7 G6 ,7:9
H8 I7 I9 Ja G8 G7 ,7:8
H8 I6 I9 G8 G7 H9 ,5:9
H8 I6 I9 J9 Ha J5 ,9:5
H8 I6 I9 Ha I8 J8 ,10:6
H8 I7 I9 Ja G8 H9 ,5:7
H8 I6 I9 H6 J8 J5 ,9:5
H8 I7 I9 G8 G7 Ja ,5:7
H8 I6 I9 G7 H9 J6 ,7:4
H8 I7 I9 G9 J8 K7 ,9:8
H8 I7 I9 G8 G7 F8 ,5:9
H8 I7 I9 H9 G7 Ia ,5:9
H8 I6 I9 I7 Ha H7 ,6:8
H8 I6 I9 I8 H9 Ha ,9:5
H8 I6 I9 H9 J8 G7 ,8:7
H8 I6 I9 J6 ,9:7
H8 J6 I9 Ja ,8:7
H8 I6 I9 G8 G7 G6 ,5:9
H8 I6 I9 Ha I8 I5 ,9:7
H8 I6 I9 Ha I8 J7 ,10:7
H8 I6 I9 J5 H7 H9 ,9:5
H8 I6 I9 J5 H7 G7 ,8:7
H8 I6 I9 J9 Ha J6 ,9:5
H8 I7 I9 J8 G7 F6 ,7:6
H8 I6 I9 J5 ,7:8
H8 I6 I9 G7 H9 I5 ,6:6
H8 I7 I9 J8 G7 G8 ,5:9
H8 I7 I9 G9 J8 K8 ,9:5
H8 I6 I9 H5 J9 Ha ,9:5
H8 I6 I9 G7 H9 J7 ,6:6
H8 I6 I9 H6 J8 J6 ,6:9
H8 I8 I9 Ja G7 G6 ,7:8
H8 I6 I9 I7 Ha H5 ,6:4
H8 I7 I9 Ja G8 H7 ,6:8
H8 I6 I9 Ha I8 J6 ,9:7
H8 I6 I9 G8 G7 F7 ,5:9
H8 I6 I9 Ja H9 Ga ,8:5
H8 I6 I9 G8 G7 G9 ,5:9
H8 I7 I9 Ha G7 Ia ,5:9
H8 I6 I9 J5 H7 G8 ,6:6
H8 I6 I9 G8 G7 Ja ,7:8
H8 I7 I9 G9 J8 J7 ,10:8
H8 I7 I9 G9 J8 K9 ,7:6
H8 I6 I9 I7 Ha J9 ,8:7
H8 I6 I9 H9 J8 H7 ,10:8
H8 I6 I9 I8 H9 Ga ,6:6
H8 I8 I9 Ja G7 J9 ,7:8
H8 I6 I9 J8 ,7:6
H8 I6 I9 I7 Ha H6 ,9:7
H8 I7 I9 G9 J8 J9 ,6:8
H8 I7 I9 Ja G8 I8 ,6:8
H8 I6 I9 Ha I8 J5 ,8:4
H8 I6 I9 G8 G7 F6 ,7:8
H8 I6 I9 J5 H7 G9 ,9:7
H8 I7 I9 G7 J9 J7 H7 H9 I8 Ka ,9:7
H8 I7 I9 J8 G7 G6 ,5:9
H8 I8 I9 Ia Ja Jb ,10:4
H8 I8 I9 Ja G7 H6 ,6:6
H8 I6 I9 I7 Ha I8 ,7:6
H8 I6 I9 G7 H9 H5 ,6:6
H8 I6 I9 J7 ,9:6
H8 I6 I9 H9 J8 I8 ,9:5
H8 J6 I9 H9 ,6:7
H8 I6 I9 G7 H9 I7 ,9:6
H8 I6 I9 I5 ,9:7
H8 I6 I9 G7 H9 J9 ,7:5
H8 I6 I9 I7 Ha I5 ,8:7
H8 I6 I9 I7 Ha J7 ,7:8
H8 I6 I9 I8 H9 G9 ,9:5
H8 I7 I9 G9 J8 I8 ,9:5
H8 I7 I9 Ja G8 J9 ,9:7
H8 I7 I9 Ja G8 Ib ,9:7
H8 I6 I9 J5 H7 Ja ,9:6
H8 I6 I9 Ja H9 Ha ,6:6
H8 I6 I9 G8 G7 Ia ,5:9
H8 I6 I9 G7 H9 H6 ,7:4
H8 I8 I9 H9 Ga Ja ,5:5
H8 I8 I9 G8 G7 G6 ,9:5
H8 I8 I9 Gb J9 G7 ,10:6
H8 I6 I9 I7 Ha J8 ,7:6
H8 I7 I9 G9 J8 H7 ,8:7
H8 I7 I9 Ja G8 J8 ,7:9
H8 I6 I9 G8 G7 F8 ,5:9
H8 I7 I9 J8 G7 H6 ,5:9
H8 I7 I9 J8 G7 I8 ,9:5
H8 I6 I9 J5 H7 Ia ,8:8
H8 I8 I9 Ja G7 J8 ,7:8
H8 I6 I9 G7 H9 H7 ,6:6
H8 I6 I9 I7 Ha J5 ,7:8
H8 I6 I9 H9 J8 Ja ,8:7
H8 I6 I9 Ja H9 Ia ,7:5
H8 I8 I9 Ia Ja G7 ,9:6
H8 I6 I9 G8 G7 Ha ,5:9
H8 I8 I9 H9 Ga G8 ,8:5
H8 I8 I9 H9 Ga G9 Fa F7 Gb Ha ,8:4
H8 I6 I9 I8 H9 Ia ,9:6
H8 I6 I9 Ia J8 Ha ,9:5
H8 I6 I9 H9 J8 G9 ,8:7
H8 I8 I9 G8 G7 H6 ,9:5
H8 I6 I9 I7 Ha J6 ,6:4
H8 I7 I9 G9 J8 G7 ,7:5
H8 I7 I9 G9 J8 H9 ,9:8
H8 I7 I9 G7 J9 F8 ,9:7
H8 I7 I9 G7 J9 H9 J8 Ia ,10:8
H8 I6 I9 J5 H7 Ha ,9:6
H8 I6 I9 J8 H9 J5 ,7:8
H8 I7 I9 G7 J9 H9 J8 K8 ,10:8
H8 I6 I9 Ha I8 Ja ,6:7
H8 I6 I9 H7 G7 I5 ,5:9
H8 I7 I9 Ha G7 G6 ,5:9
H8 I6 I9 H7 G7 J7 ,5:9
H8 I6 I9 I7 Ha Ib ,9:5
H8 I6 I9 J9 Ha H9 ,9:5
H8 I6 I9 G9 I8 Ha ,9:7
H8 I6 I9 J9 Ha G7 ,6:4
H8 I7 I9 I8 G7 H7 ,9:5
H8 I6 I9 H9 J8 J5 ,10:8
H8 I6 I9 G7 H9 G8 ,6:6
H8 I6 I9 G8 ,6:8
H8 I6 I9 H9 J8 K7 ,8:7
H8 I8 I9 H9 Ga Ha ,6:4
H8 I6 I9 J8 H9 J6 ,9:6
H8 I6 I9 H7 G7 J8 ,5:9
H8 I6 I9 J9 Ha G8 ,7:8
H8 I7 I9 J9 G7 G6 ,5:9
H8 I7 I9 I8 G7 G6 ,9:5
H8 I6 I9 H9 ,9:7
H8 I7 I9 K9 ,7:6
H8 I6 I9 G7 H9 G9 ,7:5
H8 I6 I9 G7 ,7:6
H8 I7 I9 G7 J9 E9 ,9:7
H8 I7 I9 G7 J9 I5 ,9:7
H8 I7 I9 G7 J9 Ia ,7:6
H8 I8 I9 H9 Ga Hb ,5:5
H8 I6 I9 J5 H7 J6 ,7:9
H8 K8 G9 I7 F8 I6 Ha E7 ,6:8
H8 J6 ,8:6
H8 I6 I9 Ja H9 G8 ,7:5
H8 I6 I9 H7 G7 I7 ,5:9
H8 I6 I9 H7 G7 H5 ,5:9
H8 I7 I9 J9 G7 Ja ,7:9
H8 I6 I9 H7 G7 J9 ,5:9
H8 I7 I9 J8 G7 Ha ,5:9
H8 I6 I9 Ha I8 G8 ,8:4
H8 I6 I9 J9 Ha H7 ,9:5
H8 I7 I9 J9 G7 F7 ,5:9
H8 I7 I9 J9 G7 G9 ,5:9
H8 I7 I9 J8 ,6:8
H8 I6 I9 J5 H7 J7 ,7:5
H8 I6 I9 J5 H7 I5 ,7:5
H8 I6 I9 Ja H9 G9 ,7:5
H8 I6 I9 Ja ,7:6
H8 I6 I9 G7 H9 Ia ,7:5
H8 I6 I9 H7 G7 H6 ,5:9
H8 I6 I9 H7 G7 I8 ,9:5
H8 I8 I9 H7 G7 F6 J9 H9 ,9:5
H8 I8 I9 H7 G7 F6 J9 H9 Ja Kb ,8:5
H8 I8 I9 H7 G7 F6 J9 H9 Ja Kb Ia Ha ,9:8
H8 I8 I9 H7 G7 H6 ,9:5
H8 I6 I9 Ha I8 G7 ,9:6
H8 I6 I9 Ha I8 H9 ,9:6
H8 I7 I9 I8 G7 F6 ,7:5
H8 I6 I9 I7 Ha Ia ,7:6
H8 I7 I9 J9 G7 F6 ,7:5
H8 I7 I9 G7 J9 Ja ,7:6
H8 I6 I9 G9 ,8:7
H8 I7 I9 J9 ,6:8
H8 I6 ,8:6
H8 I8 I9 H9 Ga Fb ,6:4
H8 J8 ,5:7
H8 I6 I9 J5 H7 J8 ,7:6
H8 I7 I9 J8 G7 Ia ,5:9
H8 I7 I9 Ha G7 F8 ,5:9
H8 I6 I9 J6 J8 K8 ,7:5
H8 I6 I9 J9 Ha H5 ,9:5
H8 I7 I9 Ha G7 Ja ,5:9
H8 I7 I9 G7 J9 J7 H7 H9 I8 Ka J8 K8 ,10:8
H8 I6 I9 I7 Ha G9 ,9:5
H8 I6 I9 H9 J8 J9 ,9:5
H8 I6 I9 G9 I8 Ja ,10:7
H8 I6 I9 H9 J8 H5 ,10:8
H8 I6 I9 I8 ,7:6
H8 I6 I9 H9 J8 I7 ,8:7
H8 I6 I9 H6 ,9:7
H8 I6 I9 G7 H9 Ha ,6:6
H8 I6 I9 J5 H7 H5 ,7:5
H8 I6 I9 J5 H7 J9 ,7:5
H8 I7 ,8:6
H8 I6 I9 J5 H7 I7 ,7:5
H8 I6 I9 Ja H9 G7 ,8:7
H8 I6 I9 J6 J8 K7 ,8:7
H8 I6 I9 Ha I8 H7 ,6:8
H8 I6 I9 I7 Ha Ja ,7:6
H8 I6 I9 J9 Ha I8 ,6:4
H8 I6 I9 J9 Ha H6 ,9:5
H8 I7 I9 J9 G7 J8 ,5:9
H8 I6 I9 H5 ,9:6
H8 I6 I9 J9 ,7:5
H8 I6 I9 I7 ,7:5
H8 I8 ,8:6
H8 I6 I9 J5 H7 I8 ,8:8
H8 I8 I9 H9 Ga Gb ,5:5
H8 I6 I9 J5 H7 H6 ,6:8
H8 I7 I9 Ha G7 F6 ,9:6
H8 I7 I9 Ha G7 F6 J9 Ja ,10:6
H8 I6 I9 Ja H9 H6 ,7:4
H8 I6 I9 Ja H9 I8 ,7:5
H8 I6 I9 H7 G7 J5 ,5:9
H8 I7 I9 J8 G7 Ja ,7:9
H8 I7 I9 G7 J9 J8 K9 H9 ,10:7
H8 I6 I9 Ha I8 H6 ,9:5
H8 I6 I9 J9 Ha J7 ,7:8
H8 I6 I9 J9 Ha I5 ,9:5
H8 J8 F8 G7 F9 Fa ,4:7
H8 I7 I9 G7 J9 J7 H7 H9 I8 Ka J8 K8 K7 Ha ,7:10
H8 I7 I9 J7 ,6:8
H8 I7 I9 J7 G7 Ja ,7:9
H8 I7 I9 J8 G7 G9 ,5:9
H8 I6 I9 I5 J8 K7 ,8:7
H8 I7 I9 J8 G7 F7 ,5:9
H8 I6 I9 H9 J8 I5 ,8:7
H8 I6 I9 Ja H9 H5 ,9:6
H8 I6 I9 I7 Ha G7 ,9:7
H8 I6 I9 I7 Ha H9 ,6:6
H8 I6 I9 G9 I8 Ia ,10:5
H8 I6 I9 H9 J8 J7 ,9:5
H8 I6 I9 H9 J8 K9 ,10:8
H8 I6 I9 G7 H9 Ga ,8:7
H8 I7 I9 Ha G7 F7 ,5:9
H8 I6 I9 H7 G7 J6 ,5:9
H8 I6 I9 Ja H9 H7 ,6:6
H8 I6 I9 Ha I8 H5 ,8:5
H8 I6 I9 Ha I8 I7 ,9:6
H8 I6 I9 Ha I8 J9 ,9:7
H8 I6 I9 J9 Ha J8 ,9:5
H8 I8 I9 J9 Ja Kb H7 G7 ,7:5
H8 I8 I9 J9 Ja Kb H7 H9 Ga G8 ,6:4
H8 I8 I9 J9 Ja Kb H7 H9 Ga G8 Gb Ha Gd G9 Ib Hc G7 F6 ,7:2
H8 I7 I9 J9 G7 I8 ,9:5
H8 I7 I9 J8 G7 F8 ,5:9
H8 I7 I9 I8 G7 H6 ,9:5
H8 I6 I9 H9 J8 J6 ,8:7
H8 I6 I9 I7 Ha G8 ,6:6
H8 I6 I9 H7 ,6:8
H8 I6 I9 H9 J8 K8 ,10:8
H8 I8 I9 Ja G7 H9 H7 I7 ,6:7
H8 I8 I9 Ja G7 H9 H7 F6 ,6:7
H8 I8 I9 Ja G7 H9 H7 H6 ,6:7
H8 I7 I9 G7 J9 G8 J7 H9 J8 J6 ,7:5
H8 I8 I9 H9 Ga Ha Gb G7 ,7:4
H8 I8 I9 H9 Ga Ha Gb Jb ,5:5
H8 I7 I9 G7 J9 G8 J7 G9 G6 J8 H6 H5 ,8:5
H8 I8 I9 H9 Ga Ha Gb Hc Hb G9 ,6:3
H8 I8 I9 G7 J9 K9 Ha H9 ,6:5
H8 I7 I9 Ja G8 J8 H6 J7 J9 H9 ,6:8
H8 I7 I9 Ja G8 K9 ,7:6
H8 I7 I9 G7 J9 H6 ,9:7
H8 I7 I9 G7 J9 H9 J8 J7 K7 L6 I8 K8 ,8:4
H8 I7 I9 G7 J9 G9 J8 G8 ,6:5
H8 I7 I9 G7 J9 G9 J8 G8 Ga J7 H7 Ha ,10:7
H8 I8 I9 Ga H9 J9 Ja G7 ,10:5
H8 I8 I9 Ga H9 H7 J9 G9 ,6:4
H8 I6 I9 G7 H9 H7 G9 F9 G8 F8 ,8:8
H8 I6 I9 G8 G7 F6 H7 H6 G6 F7 ,7:5
H8 I6 I9 H7 G7 F6 G9 J9 ,8:7
H8 J8 F8 F9 G9 Ha ,6:8
H8 J8 F8 Ha ,5:5
H8 J8 F8 H6 F6 G7 ,5:8
H8 J8 F8 H6 F6 F7 ,6:8
H8 J8 F8 H6 F6 F7 G7 I9 ,4:7
H8 I8 I9 H9 Ga Gb Fa G7 ,4:5
H8 I8 I9 H9 Ga Gb Fa G7 Ea Da ,5:6
H8 I8 I9 H9 Ga Ia G8 G7 ,6:4
H8 I8 I9 H9 Ga Jb ,6:6
H8 I8 I9 H9 Ga Ka ,6:6
H8 K8 G9 Ia ,6:5
H8 K8 G9 I6 ,6:7
H8 I6 I9 G6 ,9:7
H8 J6 I9 Ia ,9:7
H8 J6 I9 L8 ,6:6
H8 J6 I9 H6 ,9:7
